,train,val,test
0,test_003,test_006,test_006
1,test_005,test_015,test_015
2,test_007,test_022,test_022
3,test_009,test_031,test_031
4,test_012,test_037,test_037
5,test_014,test_044,test_044
6,test_017,test_054,test_054
7,test_018,test_059,test_059
8,test_019,test_070,test_070
9,test_020,test_080,test_080
10,test_023,test_087,test_087
11,test_024,test_095,test_095
12,test_025,test_103,test_103
13,test_028,test_112,test_112
14,test_032,test_120,test_120
15,test_034,test_127,test_127
16,test_035,normal_002,normal_002
17,test_036,normal_007,normal_007
18,test_039,normal_012,normal_012
19,test_041,normal_017,normal_017
20,test_042,normal_022,normal_022
21,test_043,normal_027,normal_027
22,test_045,normal_032,normal_032
23,test_047,normal_037,normal_037
24,test_050,normal_042,normal_042
25,test_053,normal_047,normal_047
26,test_055,normal_052,normal_052
27,test_056,normal_057,normal_057
28,test_057,normal_062,normal_062
29,test_058,normal_067,normal_067
30,test_060,normal_072,normal_072
31,test_062,normal_077,normal_077
32,test_063,normal_082,normal_082
33,test_067,normal_087,normal_087
34,test_072,normal_092,normal_092
35,test_076,normal_097,normal_097
36,test_077,normal_102,normal_102
37,test_078,normal_107,normal_107
38,test_081,normal_112,normal_112
39,test_083,normal_117,normal_117
40,test_085,normal_122,normal_122
41,test_086,normal_127,normal_127
42,test_088,normal_132,normal_132
43,test_089,normal_137,normal_137
44,test_091,normal_142,normal_142
45,test_093,normal_147,normal_147
46,test_096,normal_152,normal_152
47,test_098,normal_157,normal_157
48,test_100,test_004,test_004
49,test_101,test_016,test_016
50,test_106,test_030,test_030
51,test_107,test_048,test_048
52,test_109,test_065,test_065
53,test_111,test_073,test_073
54,test_114,test_084,test_084
55,test_115,test_099,test_099
56,test_118,test_110,test_110
57,test_119,test_122,test_122
58,test_123,tumor_005,tumor_005
59,test_124,tumor_010,tumor_010
60,test_125,tumor_015,tumor_015
61,test_126,tumor_020,tumor_020
62,test_128,tumor_025,tumor_025
63,test_129,tumor_030,tumor_030
64,test_130,tumor_035,tumor_035
65,normal_001,tumor_040,tumor_040
66,normal_003,tumor_045,tumor_045
67,normal_004,tumor_050,tumor_050
68,normal_005,tumor_055,tumor_055
69,normal_006,tumor_060,tumor_060
70,normal_008,tumor_065,tumor_065
71,normal_009,tumor_070,tumor_070
72,normal_010,tumor_075,tumor_075
73,normal_011,tumor_080,tumor_080
74,normal_013,tumor_085,tumor_085
75,normal_014,tumor_090,tumor_090
76,normal_015,tumor_095,tumor_095
77,normal_016,tumor_100,tumor_100
78,normal_018,tumor_105,tumor_105
79,normal_019,tumor_110,tumor_110
80,normal_020,,
81,normal_021,,
82,normal_023,,
83,normal_024,,
84,normal_025,,
85,normal_026,,
86,normal_028,,
87,normal_029,,
88,normal_030,,
89,normal_031,,
90,normal_033,,
91,normal_034,,
92,normal_035,,
93,normal_036,,
94,normal_038,,
95,normal_039,,
96,normal_040,,
97,normal_041,,
98,normal_043,,
99,normal_044,,
100,normal_045,,
101,normal_046,,
102,normal_048,,
103,normal_049,,
104,normal_050,,
105,normal_051,,
106,normal_053,,
107,normal_054,,
108,normal_055,,
109,normal_056,,
110,normal_058,,
111,normal_059,,
112,normal_060,,
113,normal_061,,
114,normal_063,,
115,normal_064,,
116,normal_065,,
117,normal_066,,
118,normal_068,,
119,normal_069,,
120,normal_070,,
121,normal_071,,
122,normal_073,,
123,normal_074,,
