,train,val,test
0,crc_0,crc_1,crc_302
1,crc_2,crc_7,crc_303
2,crc_3,crc_11,crc_304
3,crc_4,crc_12,crc_305
4,crc_5,crc_33,crc_306
5,crc_6,crc_34,crc_307
6,crc_8,crc_35,crc_308
7,crc_9,crc_43,crc_309
8,crc_10,crc_50,crc_310
9,crc_13,crc_52,crc_311
10,crc_14,crc_53,crc_312
11,crc_15,crc_55,crc_313
12,crc_16,crc_62,crc_314
13,crc_17,crc_67,crc_315
14,crc_18,crc_69,crc_316
15,crc_19,crc_73,crc_317
16,crc_20,crc_80,crc_318
17,crc_21,crc_88,crc_319
18,crc_22,crc_104,crc_320
19,crc_23,crc_112,crc_321
20,crc_24,crc_113,crc_322
21,crc_25,crc_115,crc_323
22,crc_26,crc_116,crc_324
23,crc_27,crc_118,crc_325
24,crc_28,crc_120,crc_326
25,crc_29,crc_121,crc_327
26,crc_30,crc_126,crc_328
27,crc_31,crc_127,crc_329
28,crc_32,crc_134,crc_330
29,crc_36,crc_139,crc_331
30,crc_37,crc_140,crc_332
31,crc_38,crc_150,crc_333
32,crc_39,crc_154,crc_334
33,crc_40,crc_165,crc_335
34,crc_41,crc_178,crc_336
35,crc_42,crc_182,crc_337
36,crc_44,crc_183,crc_338
37,crc_45,crc_186,crc_339
38,crc_46,crc_191,crc_340
39,crc_47,crc_192,crc_341
40,crc_48,crc_197,crc_342
41,crc_49,crc_198,crc_343
42,crc_51,crc_203,crc_344
43,crc_54,crc_219,crc_345
44,crc_56,crc_226,crc_346
45,crc_57,crc_228,crc_347
46,crc_58,crc_240,crc_348
47,crc_59,crc_241,crc_349
48,crc_60,crc_242,crc_350
49,crc_61,crc_245,crc_351
50,crc_63,crc_247,crc_352
51,crc_64,crc_248,crc_353
52,crc_65,crc_249,crc_354
53,crc_66,crc_252,crc_355
54,crc_68,crc_256,crc_356
55,crc_70,crc_261,crc_357
56,crc_71,crc_264,crc_358
57,crc_72,crc_270,crc_359
58,crc_74,crc_271,crc_360
59,crc_75,crc_272,crc_361
60,crc_76,crc_273,crc_362
61,crc_77,crc_280,crc_363
62,crc_78,crc_292,crc_364
63,crc_79,,crc_365
64,crc_81,,crc_366
65,crc_82,,crc_367
66,crc_83,,crc_368
67,crc_84,,crc_369
68,crc_85,,crc_370
69,crc_86,,crc_371
70,crc_87,,crc_372
71,crc_89,,crc_373
72,crc_90,,crc_374
73,crc_91,,crc_375
74,crc_92,,crc_376
75,crc_93,,crc_377
76,crc_94,,crc_378
77,crc_95,,crc_379
78,crc_96,,crc_380
79,crc_97,,crc_381
80,crc_98,,crc_382
81,crc_99,,crc_383
82,crc_100,,crc_384
83,crc_101,,crc_385
84,crc_102,,crc_386
85,crc_103,,crc_387
86,crc_105,,crc_388
87,crc_106,,crc_389
88,crc_107,,crc_390
89,crc_108,,crc_391
90,crc_109,,crc_392
91,crc_110,,crc_393
92,crc_111,,crc_394
93,crc_114,,crc_395
94,crc_117,,crc_396
95,crc_119,,crc_397
96,crc_122,,crc_398
97,crc_123,,crc_399
98,crc_124,,crc_400
99,crc_125,,crc_401
100,crc_128,,crc_402
101,crc_129,,crc_403
102,crc_130,,crc_404
103,crc_131,,crc_405
104,crc_132,,crc_406
105,crc_133,,crc_407
106,crc_135,,crc_408
107,crc_136,,crc_409
108,crc_137,,crc_410
109,crc_138,,crc_411
110,crc_141,,crc_412
111,crc_142,,crc_413
112,crc_143,,crc_414
113,crc_144,,crc_415
114,crc_145,,crc_416
115,crc_146,,crc_417
116,crc_147,,crc_418
117,crc_148,,crc_419
118,crc_149,,crc_420
119,crc_151,,crc_421
120,crc_152,,crc_422
121,crc_153,,crc_423
122,crc_155,,crc_424
123,crc_156,,crc_425
124,crc_157,,crc_426
125,crc_158,,crc_427
126,crc_159,,crc_428
127,crc_160,,crc_429
128,crc_161,,crc_430
129,crc_162,,
130,crc_163,,
131,crc_164,,
132,crc_166,,
133,crc_167,,
134,crc_168,,
135,crc_169,,
136,crc_170,,
137,crc_171,,
138,crc_172,,
139,crc_173,,
140,crc_174,,
141,crc_175,,
142,crc_176,,
143,crc_177,,
144,crc_179,,
145,crc_180,,
146,crc_181,,
147,crc_184,,
148,crc_185,,
149,crc_187,,
150,crc_188,,
151,crc_189,,
152,crc_190,,
153,crc_193,,
154,crc_194,,
155,crc_195,,
156,crc_196,,
157,crc_199,,
158,crc_200,,
159,crc_201,,
160,crc_202,,
161,crc_204,,
162,crc_205,,
163,crc_206,,
164,crc_207,,
165,crc_208,,
166,crc_209,,
167,crc_210,,
168,crc_211,,
169,crc_212,,
170,crc_213,,
171,crc_214,,
172,crc_215,,
173,crc_216,,
174,crc_217,,
