,train,val,test
crc_0,True,False,False
crc_2,True,False,False
crc_3,True,False,False
crc_4,True,False,False
crc_5,True,False,False
crc_6,True,False,False
crc_8,True,False,False
crc_9,True,False,False
crc_10,True,False,False
crc_13,True,False,False
crc_14,True,False,False
crc_15,True,False,False
crc_16,True,False,False
crc_17,True,False,False
crc_18,True,False,False
crc_19,True,False,False
crc_20,True,False,False
crc_21,True,False,False
crc_22,True,False,False
crc_23,True,False,False
crc_24,True,False,False
crc_25,True,False,False
crc_26,True,False,False
crc_27,True,False,False
crc_28,True,False,False
crc_29,True,False,False
crc_30,True,False,False
crc_31,True,False,False
crc_32,True,False,False
crc_36,True,False,False
crc_37,True,False,False
crc_38,True,False,False
crc_39,True,False,False
crc_40,True,False,False
crc_41,True,False,False
crc_42,True,False,False
crc_44,True,False,False
crc_45,True,False,False
crc_46,True,False,False
crc_47,True,False,False
crc_48,True,False,False
crc_49,True,False,False
crc_51,True,False,False
crc_54,True,False,False
crc_56,True,False,False
crc_57,True,False,False
crc_58,True,False,False
crc_59,True,False,False
crc_60,True,False,False
crc_61,True,False,False
crc_63,True,False,False
crc_64,True,False,False
crc_65,True,False,False
crc_66,True,False,False
crc_68,True,False,False
crc_70,True,False,False
crc_71,True,False,False
crc_72,True,False,False
crc_74,True,False,False
crc_75,True,False,False
crc_76,True,False,False
crc_77,True,False,False
crc_78,True,False,False
crc_79,True,False,False
crc_81,True,False,False
crc_82,True,False,False
crc_83,True,False,False
crc_84,True,False,False
crc_85,True,False,False
crc_86,True,False,False
crc_87,True,False,False
crc_89,True,False,False
crc_90,True,False,False
crc_91,True,False,False
crc_92,True,False,False
crc_93,True,False,False
crc_94,True,False,False
crc_95,True,False,False
crc_96,True,False,False
crc_97,True,False,False
crc_98,True,False,False
crc_99,True,False,False
crc_100,True,False,False
crc_101,True,False,False
crc_102,True,False,False
crc_103,True,False,False
crc_105,True,False,False
crc_106,True,False,False
crc_107,True,False,False
crc_108,True,False,False
crc_109,True,False,False
crc_110,True,False,False
crc_111,True,False,False
crc_114,True,False,False
crc_117,True,False,False
crc_119,True,False,False
crc_122,True,False,False
crc_123,True,False,False
crc_124,True,False,False
crc_125,True,False,False
crc_128,True,False,False
crc_129,True,False,False
crc_130,True,False,False
crc_131,True,False,False
crc_132,True,False,False
crc_133,True,False,False
crc_135,True,False,False
crc_136,True,False,False
crc_137,True,False,False
crc_138,True,False,False
crc_141,True,False,False
crc_142,True,False,False
crc_143,True,False,False
crc_144,True,False,False
crc_145,True,False,False
crc_146,True,False,False
crc_147,True,False,False
crc_148,True,False,False
crc_149,True,False,False
crc_151,True,False,False
crc_152,True,False,False
crc_153,True,False,False
crc_155,True,False,False
crc_156,True,False,False
crc_157,True,False,False
crc_158,True,False,False
crc_159,True,False,False
crc_160,True,False,False
crc_161,True,False,False
crc_162,True,False,False
crc_163,True,False,False
crc_164,True,False,False
crc_166,True,False,False
crc_167,True,False,False
crc_168,True,False,False
crc_169,True,False,False
crc_170,True,False,False
crc_171,True,False,False
crc_172,True,False,False
crc_173,True,False,False
crc_174,True,False,False
crc_175,True,False,False
crc_176,True,False,False
crc_177,True,False,False
crc_179,True,False,False
crc_180,True,False,False
crc_181,True,False,False
crc_184,True,False,False
crc_185,True,False,False
crc_187,True,False,False
crc_188,True,False,False
crc_189,True,False,False
crc_190,True,False,False
crc_193,True,False,False
crc_194,True,False,False
crc_195,True,False,False
crc_196,True,False,False
crc_199,True,False,False
crc_200,True,False,False
crc_201,True,False,False
crc_202,True,False,False
crc_204,True,False,False
crc_205,True,False,False
crc_206,True,False,False
crc_207,True,False,False
crc_208,True,False,False
crc_209,True,False,False
crc_210,True,False,False
crc_211,True,False,False
crc_212,True,False,False
crc_213,True,False,False
crc_214,True,False,False
crc_215,True,False,False
crc_216,True,False,False
crc_217,True,False,False
crc_218,True,False,False
crc_220,True,False,False
crc_221,True,False,False
crc_222,True,False,False
crc_223,True,False,False
crc_224,True,False,False
crc_225,True,False,False
crc_227,True,False,False
crc_229,True,False,False
crc_230,True,False,False
crc_231,True,False,False
crc_232,True,False,False
crc_233,True,False,False
crc_234,True,False,False
crc_235,True,False,False
crc_236,True,False,False
crc_237,True,False,False
crc_238,True,False,False
crc_239,True,False,False
crc_243,True,False,False
crc_244,True,False,False
crc_246,True,False,False
crc_250,True,False,False
crc_251,True,False,False
crc_253,True,False,False
crc_254,True,False,False
crc_255,True,False,False
crc_257,True,False,False
crc_258,True,False,False
crc_259,True,False,False
crc_260,True,False,False
crc_262,True,False,False
crc_263,True,False,False
crc_265,True,False,False
crc_266,True,False,False
crc_267,True,False,False
crc_268,True,False,False
crc_269,True,False,False
crc_274,True,False,False
crc_275,True,False,False
crc_276,True,False,False
crc_277,True,False,False
crc_278,True,False,False
crc_279,True,False,False
crc_281,True,False,False
crc_282,True,False,False
crc_283,True,False,False
crc_284,True,False,False
crc_285,True,False,False
crc_286,True,False,False
crc_287,True,False,False
crc_288,True,False,False
crc_289,True,False,False
crc_290,True,False,False
crc_291,True,False,False
crc_293,True,False,False
crc_294,True,False,False
crc_295,True,False,False
crc_296,True,False,False
crc_297,True,False,False
crc_298,True,False,False
crc_299,True,False,False
crc_300,True,False,False
crc_301,True,False,False
crc_1,False,True,False
crc_7,False,True,False
crc_11,False,True,False
crc_12,False,True,False
crc_33,False,True,False
crc_34,False,True,False
crc_35,False,True,False
crc_43,False,True,False
crc_50,False,True,False
crc_52,False,True,False
crc_53,False,True,False
crc_55,False,True,False
crc_62,False,True,False
crc_67,False,True,False
crc_69,False,True,False
crc_73,False,True,False
crc_80,False,True,False
crc_88,False,True,False
crc_104,False,True,False
crc_112,False,True,False
crc_113,False,True,False
crc_115,False,True,False
crc_116,False,True,False
crc_118,False,True,False
crc_120,False,True,False
crc_121,False,True,False
crc_126,False,True,False
crc_127,False,True,False
crc_134,False,True,False
crc_139,False,True,False
crc_140,False,True,False
crc_150,False,True,False
crc_154,False,True,False
crc_165,False,True,False
crc_178,False,True,False
crc_182,False,True,False
crc_183,False,True,False
crc_186,False,True,False
crc_191,False,True,False
crc_192,False,True,False
crc_197,False,True,False
crc_198,False,True,False
crc_203,False,True,False
crc_219,False,True,False
crc_226,False,True,False
crc_228,False,True,False
crc_240,False,True,False
crc_241,False,True,False
crc_242,False,True,False
crc_245,False,True,False
crc_247,False,True,False
crc_248,False,True,False
crc_249,False,True,False
crc_252,False,True,False
crc_256,False,True,False
crc_261,False,True,False
crc_264,False,True,False
crc_270,False,True,False
crc_271,False,True,False
crc_272,False,True,False
crc_273,False,True,False
crc_280,False,True,False
crc_292,False,True,False
crc_302,False,False,True
crc_303,False,False,True
crc_304,False,False,True
crc_305,False,False,True
crc_306,False,False,True
crc_307,False,False,True
crc_308,False,False,True
crc_309,False,False,True
crc_310,False,False,True
crc_311,False,False,True
crc_312,False,False,True
crc_313,False,False,True
