,train,val,test
0,B201813098C_c1,B201812551C_c3,B201812551C_c3
1,B201812551C_c2,B201800437A_c2,B201800437A_c2
2,B201812551C_c1,B201732854A_c3,B201732854A_c3
3,B201735334F_c1,B201735334C_c1,B201735334C_c1
4,B201800437A_c3,B201718108A_c1,B201718108A_c1
5,B201800437A_c1,B201715932_c3,B201715932_c3
6,B201716192A2_c4,B201706114_c2,B201706114_c2
7,B201716192A2_c2,B201731277B_c2,B201731277B_c2
8,B201716192A2_c3,B201809110B_c1,B201809110B_c1
9,B201716192A2_c1,B201727680B2_c1,B201727680B2_c1
10,B201732854A_c2,B201816126A_c3,B201816126A_c3
11,B201732854A_c1,B201718108B_c2,B201718108B_c2
12,B201806722A_c2,B201702546_c4,B201702546_c4
13,B201806722A_c3,B201702546_c3,B201702546_c3
14,B201806722A_c1,B201725590B_c2,B201725590B_c2
15,B201718108A_c4,B201812551A_c4,B201812551A_c4
16,B201718108A_c2,B201739044B_c3,B201739044B_c3
17,B201718108A_c3,B201710386E_c2,B201710386E_c2
18,B201715932_c2,B201800437C_c2,B201800437C_c2
19,B201715932_c1,B201720538A4_c1,B201720538A4_c1
20,B201721383A2_c2,B201725590A_c4,B201725590A_c4
21,B201721383A2_c1,B201725590A_c3,B201725590A_c3
22,B201710377B_c4,B201813098A_c1,B201813098A_c1
23,B201710377B_c2,B201710386F_c1,B201710386F_c1
24,B201710377B_c3,B201814242C_c2,B201814242C_c2
25,B201710377B_c1,B201813750A_c1,B201813750A_c1
26,B201710377B_c5,B201817578C_c3,B201817578C_c3
27,B201813750B2_c1,B202016825A_c4,B202016825A_c4
28,B201725590F_c2,B202016825A_c3,B202016825A_c3
29,B201725590F_c3,B202016825A_c1,B202016825A_c1
30,B201725590F_c1,B201801711B_c1,B201801711B_c1
31,B201706114_c4,B201813097C_c1,B201813097C_c1
32,B201706114_c3,B201812551B_c3,B201812551B_c3
33,B201706114_c1,B201720076A3_c1,B201720076A3_c1
34,B201731277A_c2,B201809110C_c2,B201809110C_c2
35,B201731277A_c3,B201710386B_c3,B201710386B_c3
36,B201731277A_c1,B201725590E_c4,B201725590E_c4
37,B201731277B_c1,B201710377A_c1,B201710377A_c1
38,B201809110B_c2,B201710382B_c2,B201710382B_c2
39,B201809110B_c3,B201814242A_c3,B201814242A_c3
