,train,val,test
0,18B0004358D,16B0003394,16B0003394
1,18B0006623C,18B0005124A,18B0005124A
2,17B0034675,17B0021010,17B0021010
3,18B0006623I,18B0004349G,18B0004349G
4,18B0005477G,18B0002933H,18B0002933H
5,17B0034449,17B0031079,17B0031079
6,17B0031124,18B0005478B,18B0005478B
7,16B0026794,16B0028168,16B0028168
8,17B0034179,16B0028817,16B0028817
9,17B0027608,18B0006621D,18B0006621D
10,16B0022608,17B0024162,17B0024162
11,16B0022612,18B0003894J,18B0003894J
12,17B0017506,18B0005773,18B0005773
13,18B0002933I,16B0026795,16B0026795
14,16B0006669,17B0027646,17B0027646
15,17B0016589,18B0005478I,18B0005478I
16,18B0006170D,17B0034247,17B0034247
17,16B0006668,16B0008067,16B0008067
18,18B0006622E,16B0022610,16B0022610
19,18B0001510J,18B0006623D,18B0006623D
20,18B0006623A,18B0005126C,18B0005126C
21,16B0027040,16B0024174,16B0024174
22,16B0027038,17B0031904,17B0031904
23,18B0003896D,17B0031890,17B0031890
24,18B0006179I,16B0024173,16B0024173
25,17B0016566,18B0003032A,18B0003032A
26,18B0005478A,18B000646H,18B000646H
27,17B0011996,18B0005478C,18B0005478C
28,18B001071J,17B0035220,17B0035220
29,17B0019359,18B0001506G,18B0001506G
30,18B0002930B,,
31,16B0022613,,
32,17B0015685,,
33,16B0024177,,
34,16B0028816,,
35,17B0031893,,
36,18B0005718B,,
37,18B0005478E,,
38,18B0004346A,,
39,16B0023614,,
40,18B0006623F,,
41,16B0006694,,
42,18B0005230E,,
43,17B0031932,,
44,18B0005478H,,
45,17B0031879,,
46,18B0001071H,,
47,16B0028161,,
48,16B0028814,,
49,18B0001966H,,
50,18B0002452G,,
51,16B0022615,,
52,18B0005125B,,
53,18B0001971B,,
54,17B00208864,,
55,16B0006695,,
56,16B0028914,,
57,18B0002932D,,
58,16B0028815,,
59,17B0028627,,
60,17B0015969,,
61,18B0003901F,,
62,18B0006623J,,
63,18B0006623H,,
64,17B0032153,,
65,16B0008045,,
66,16B0001851,,
67,17B0018428,,
68,18B0006177A,,
69,16B0022616,,
70,16B0022786,,
71,16B0028813,,
72,17B0029534,,
73,18B0003808K,,
74,17B0031053,,
75,18B0005478F,,
76,16B0028822,,
77,16B0024175,,
78,17B0031877,,
79,17B00116581,,
80,18B0002975B,,
81,17B0023980,,
82,16B0003388,,
83,17B0017511,,
84,17B0029587,,
85,16B0028138,,
86,17B0031109,,
87,18B0005478J,,
88,17B0034674,,
89,17B0034184,,
90,17B0031103,,
91,17B0031108,,
92,18B0003894H,,
93,18B0001159D,,
94,17B0016583,,
95,16B0024181,,
96,17B0016579,,
97,17B0023909,,
98,17B0017717,,
99,17B0022792,,
100,17B0023487,,
101,17B0017454,,
102,17B0031061,,
103,18B0006169B,,
104,18B0001510G,,
105,16B0023613,,
106,16B0026796,,
107,18B0006623B,,
108,18B0005478D,,
109,16B0026792,,
110,17B0015777,,
111,18B0006173F,,
112,16B0022781,,
113,16B0028148,,
114,16B0027039,,
115,18B0004349A,,
116,18B0006174B,,
117,18B000646G,,
118,17B00208861,,
119,17B0031911,,
120,18B0005478G,,
121,17B0015554,,
122,17B0024636,,
123,18B0006623G,,
