,train,val,test
0,test_003,test_005,test_005
1,test_006,test_014,test_014
2,test_007,test_020,test_020
3,test_009,test_028,test_028
4,test_012,test_036,test_036
5,test_015,test_043,test_043
6,test_017,test_053,test_053
7,test_018,test_058,test_058
8,test_019,test_067,test_067
9,test_022,test_078,test_078
10,test_023,test_086,test_086
11,test_024,test_093,test_093
12,test_025,test_101,test_101
13,test_031,test_111,test_111
14,test_032,test_119,test_119
15,test_034,test_126,test_126
16,test_035,normal_001,normal_001
17,test_037,normal_006,normal_006
18,test_039,normal_011,normal_011
19,test_041,normal_016,normal_016
20,test_042,normal_021,normal_021
21,test_044,normal_026,normal_026
22,test_045,normal_031,normal_031
23,test_047,normal_036,normal_036
24,test_050,normal_041,normal_041
25,test_054,normal_046,normal_046
26,test_055,normal_051,normal_051
27,test_056,normal_056,normal_056
28,test_057,normal_061,normal_061
29,test_059,normal_066,normal_066
30,test_060,normal_071,normal_071
31,test_062,normal_076,normal_076
32,test_063,normal_081,normal_081
33,test_070,normal_086,normal_086
34,test_072,normal_091,normal_091
35,test_076,normal_096,normal_096
36,test_077,normal_101,normal_101
37,test_080,normal_106,normal_106
38,test_081,normal_111,normal_111
39,test_083,normal_116,normal_116
40,test_085,normal_121,normal_121
41,test_087,normal_126,normal_126
42,test_088,normal_131,normal_131
43,test_089,normal_136,normal_136
44,test_091,normal_141,normal_141
45,test_095,normal_146,normal_146
46,test_096,normal_151,normal_151
47,test_098,normal_156,normal_156
48,test_100,test_002,test_002
49,test_103,test_013,test_013
50,test_106,test_029,test_029
51,test_107,test_046,test_046
52,test_109,test_064,test_064
53,test_112,test_071,test_071
54,test_114,test_082,test_082
55,test_115,test_097,test_097
56,test_118,test_108,test_108
57,test_120,test_121,test_121
58,test_123,tumor_004,tumor_004
59,test_124,tumor_009,tumor_009
60,test_125,tumor_014,tumor_014
61,test_127,tumor_019,tumor_019
62,test_128,tumor_024,tumor_024
63,test_129,tumor_029,tumor_029
64,test_130,tumor_034,tumor_034
65,normal_002,tumor_039,tumor_039
66,normal_003,tumor_044,tumor_044
67,normal_004,tumor_049,tumor_049
68,normal_005,tumor_054,tumor_054
69,normal_007,tumor_059,tumor_059
70,normal_008,tumor_064,tumor_064
71,normal_009,tumor_069,tumor_069
72,normal_010,tumor_074,tumor_074
73,normal_012,tumor_079,tumor_079
74,normal_013,tumor_084,tumor_084
75,normal_014,tumor_089,tumor_089
76,normal_015,tumor_094,tumor_094
77,normal_017,tumor_099,tumor_099
78,normal_018,tumor_104,tumor_104
79,normal_019,tumor_109,tumor_109
80,normal_020,,
81,normal_022,,
82,normal_023,,
83,normal_024,,
84,normal_025,,
85,normal_027,,
86,normal_028,,
87,normal_029,,
88,normal_030,,
89,normal_032,,
90,normal_033,,
91,normal_034,,
92,normal_035,,
93,normal_037,,
94,normal_038,,
95,normal_039,,
96,normal_040,,
97,normal_042,,
98,normal_043,,
99,normal_044,,
100,normal_045,,
101,normal_047,,
102,normal_048,,
103,normal_049,,
104,normal_050,,
105,normal_052,,
106,normal_053,,
107,normal_054,,
108,normal_055,,
109,normal_057,,
110,normal_058,,
111,normal_059,,
112,normal_060,,
113,normal_062,,
114,normal_063,,
115,normal_064,,
116,normal_065,,
117,normal_067,,
118,normal_068,,
119,normal_069,,
120,normal_070,,
121,normal_072,,
122,normal_073,,
123,normal_074,,
124,normal_075,,
125,normal_077,,
126,normal_078,,
127,normal_079,,
128,normal_080,,
129,normal_082,,
130,normal_083,,
131,normal_084,,
132,normal_085,,
133,normal_087,,
134,normal_088,,
135,normal_089,,
136,normal_090,,
137,normal_092,,
138,normal_093,,
139,normal_094,,
140,normal_095,,
141,normal_097,,
142,normal_098,,
143,normal_099,,
144,normal_100,,
145,normal_102,,
146,normal_103,,
147,normal_104,,
148,normal_105,,
149,normal_107,,
150,normal_108,,
151,normal_109,,
152,normal_110,,
153,normal_112,,
154,normal_113,,
155,normal_114,,
156,normal_115,,
157,normal_117,,
158,normal_118,,
159,normal_119,,
160,normal_120,,
161,normal_122,,
162,normal_123,,
163,normal_124,,
164,normal_125,,
165,normal_127,,
166,normal_128,,
167,normal_129,,
168,normal_130,,
169,normal_132,,
170,normal_133,,
171,normal_134,,
172,normal_135,,
173,normal_137,,
174,normal_138,,
175,normal_139,,
176,normal_140,,
177,normal_142,,
178,normal_143,,
179,normal_144,,
180,normal_145,,
181,normal_147,,
182,normal_148,,
183,normal_149,,
184,normal_150,,
185,normal_152,,
186,normal_153,,
187,normal_154,,
188,normal_155,,
189,normal_157,,
190,normal_158,,
191,normal_159,,
192,test_001,,
193,test_004,,
194,test_008,,
195,test_010,,
196,test_011,,
197,test_016,,
198,test_021,,
199,test_026,,
200,test_027,,
201,test_030,,
202,test_033,,
203,test_038,,
204,test_040,,
205,test_048,,
206,test_051,,
207,test_052,,
208,test_061,,
209,test_065,,
210,test_066,,
211,test_068,,
212,test_069,,
213,test_073,,
214,test_074,,
215,test_075,,
216,test_079,,
217,test_084,,
218,test_090,,
219,test_092,,
220,test_094,,
221,test_099,,
222,test_102,,
223,test_104,,
224,test_105,,
225,test_110,,
226,test_113,,
227,test_116,,
228,test_117,,
229,test_122,,
230,tumor_001,,
231,tumor_002,,
232,tumor_003,,
233,tumor_005,,
234,tumor_006,,
235,tumor_007,,
236,tumor_008,,
237,tumor_010,,
238,tumor_011,,
239,tumor_012,,
240,tumor_013,,
241,tumor_015,,
242,tumor_016,,
243,tumor_017,,
244,tumor_018,,
245,tumor_020,,
246,tumor_021,,
247,tumor_022,,
248,tumor_023,,
249,tumor_025,,
250,tumor_026,,
251,tumor_027,,
252,tumor_028,,
253,tumor_030,,
254,tumor_031,,
255,tumor_032,,
256,tumor_033,,
257,tumor_035,,
258,tumor_036,,
259,tumor_037,,
260,tumor_038,,
261,tumor_040,,
262,tumor_041,,
263,tumor_042,,
264,tumor_043,,
265,tumor_045,,
266,tumor_046,,
267,tumor_047,,
268,tumor_048,,
269,tumor_050,,
270,tumor_051,,
271,tumor_052,,
272,tumor_053,,
273,tumor_055,,
274,tumor_056,,
275,tumor_057,,
276,tumor_058,,
277,tumor_060,,
278,tumor_061,,
279,tumor_062,,
280,tumor_063,,
281,tumor_065,,
282,tumor_066,,
283,tumor_067,,
284,tumor_068,,
285,tumor_070,,
286,tumor_071,,
287,tumor_072,,
288,tumor_073,,
289,tumor_075,,
290,tumor_076,,
291,tumor_077,,
292,tumor_078,,
293,tumor_080,,
294,tumor_081,,
295,tumor_082,,
296,tumor_083,,
297,tumor_085,,
298,tumor_086,,
299,tumor_087,,
300,tumor_088,,
301,tumor_090,,
302,tumor_091,,
303,tumor_092,,
304,tumor_093,,
305,tumor_095,,
306,tumor_096,,
307,tumor_097,,
308,tumor_098,,
309,tumor_100,,
310,tumor_101,,
311,tumor_102,,
312,tumor_103,,
313,tumor_105,,
314,tumor_106,,
315,tumor_107,,
316,tumor_108,,
317,tumor_110,,
318,tumor_111,,
