,train,val,test
0,B201931995D,B201907993C1,B201907993C1
1,B201936411A,B201931817B2,B201931817B2
2,B201936411B,B201928825D1,B201928825D1
3,B201905872A1,B201907993B1,B201907993B1
4,B201905872A2,B201905872B1,B201905872B1
5,B202002395C1,B201317553B1,B201317553B1
6,B201905872B2,B201602680C1,B201602680C1
7,B201912177A2,B201402563D1,B201402563D1
8,B201905872C2,B201402563A1,B201402563A1
9,B201919084B2,B201514231A2,B201514231A2
10,B201905872C1,B201827480HE,B201827480HE
11,B201907993A2,B201806220C2,B201806220C2
12,B201931995C,B201804116C,B201804116C
13,B201931995B,B201803918A3,B201803918A3
14,B201931995A,B201805607D,B201805607D
15,B201907993A1,B201804872B,B201804872B
16,B201919084A1,B201803918B2,B201803918B2
17,B201928825B2,B201805607C1,B201805607C1
18,B201907770C1,B201805795D1,B201805795D1
19,B201200976B1,B201806733A1,B201806733A1
20,B201304490A2,B201805671D2,B201805671D2
21,B201200976C,B201805671C,B201805671C
22,B201321212A1,B201806693,B201806693
23,B201200976A1,B201806321A2,B201806321A2
24,B201607053B1,B201806733B2,B201806733B2
25,B201614308C,B201805795C,B201805795C
26,B201607053A1,B201805607A2,B201805607A2
27,B201402563A2,B201806398B,B201806398B
28,B201606721D1,B201107603C3,B201107603C3
29,B201402563D2,B201018569A2,B201018569A2
30,B201325078A1,B201020473B2,B201020473B2
31,B201420727C,B201802061C1,B201802061C1
32,B201612702B,B201800765A1,B201800765A1
33,B201612702A2,B201802382C,B201802382C
34,B201402563B1,B201800470B2,B201800470B2
35,B201522223A8,B201802800C2,B201802800C2
36,B201827480B2,B201801223A2,B201801223A2
37,B201834778B2,B201801681A2,B201801681A2
38,B201827480C1,B201800765E2,B201800765E2
39,B201823770A,B201801248C1,B201801248C1
40,B201823770B,B201803895B,B201803895B
41,B201823770A2,B201802381D,B201802381D
42,B201804872C2,B201803197C,B201803197C
43,B201806703A,B201801034A1,B201801034A1
44,B201803918A2,B201802381A4,B201802381A4
45,B201805990C,B201801682C,B201801682C
46,B201806213B1,B201801223C,B201801223C
47,B201806213B2,B201428281C,B201428281C
48,B201805990B1,B201317554A1,B201317554A1
49,B201804612B2_2,B201428281B1,B201428281B1
50,B201806321B,B201518371A2,B201518371A2
51,B201804116A2,B201415605A1,B201415605A1
52,B201804872A2,B201931817A2,B201931817A2
53,B201806702B1,B201905035B1,B201905035B1
54,B201805795D2,B201928825A,B201928825A
55,B201804116B,B201906782A2,B201906782A2
56,B201805671A2,B201609285B2,B201609285B2
57,B201804612A2,B201523325A2,B201523325A2
58,B201806212A1,B201528613A,B201528613A
59,B201804872A4,B201523325B2,B201523325B2
60,B201806703C,B201609285D,B201609285D
61,B201806702B2,B201829916B4,B201829916B4
62,B201805990B2,B201829916C4,B201829916C4
63,B201806220B2,B201832773A2,B201832773A2
64,B201806520C,B201829916D1,B201829916D1
65,B201804612B2_1,B201829916C3,B201829916C3
66,B201806398A1,B201844793B2,B201844793B2
67,B201805607C2,B201844793B1,B201844793B1
68,B201804191C1,B201844793A1,B201844793A1
69,B201806733A4,B201804191A2,B201804191A2
70,B201806212A2,B201107603B2,B201107603B2
71,B201806398D1,B201912271A1,B201912271A1
72,B201804612C2,B201912271B2,B201912271B2
73,B201806398D2,B201907770A,B201907770A
74,B201806702A1,B201909292B2,B201909292B2
75,B201806212B1,B201907770D3,B201907770D3
76,B201804872A1,B201221437B,B201221437B
77,B201806314B2,B201317553HE,B201317553HE
78,B201806703B,B201319077A3,B201319077A3
79,B201804872A3,B201319077A1,B201319077A1
80,B201806213A1,B201223608A3,B201223608A3
81,B201806314C3,B201614308A1,B201614308A1
82,B201803918B1,B201605850C2,B201605850C2
83,B201806733C,B201324568B1,B201324568B1
84,B201805990A,B201409040C,B201409040C
85,B201806520B,B201324568D2,B201324568D2
86,B201806520D,B201605850C1,B201605850C1
87,B201806220A1,B201605403B2,B201605403B2
88,B201806520A,B201514231A1,B201514231A1
89,B201804872C1,B201603879B,B201603879B
90,B201806321C1,B201501448A1,B201501448A1
91,B201805671B1,B201603879C2,B201603879C2
92,B201806703D,B201603879A3,B201603879A3
93,B201806702A2,B201603879D1,B201603879D1
94,B201806321A1,B201512282D2,B201512282D2
95,B201804612B1,B201840241D,B201840241D
96,B201806733A3,B201828121A,B201828121A
97,B201804612A1,B201827480B1,B201827480B1
98,B201806213A2,B201943357A1,B201943357A1
99,B201806314A2,B201933337B3,B201933337B3
100,B201806321C2,F61560D,F61560D
101,B201806907C1,B201021604A3,B201021604A3
102,B201806398C,B201932403B2,B201932403B2
103,B201805795A1,B201107055A1,B201107055A1
104,B201804191B,B201118916C1,B201118916C1
105,B201805795A2,F61560A2,F61560A2
106,B201806212B2,B201932403C2,B201932403C2
107,B201804872D,B201932403C1,B201932403C1
108,B201806398A2,B201107055B,B201107055B
109,B201018569A1,B201007978A,B201007978A
110,B201018569B2,B201800630A4,B201800630A4
111,B201107603C2,B201801578B1,B201801578B1
112,B201019993A1,B201802061A2,B201802061A2
113,B201107603l1,,
114,B201019993A3,,
115,B201019993B1,,
116,B201107603C1,,
117,B201018569K,,
118,B201020473A2,,
119,B201018569D1,,
120,B201801681A1,,
121,B201803197B,,
122,B201800765D,,
123,B201800628B1,,
124,B201801248B1,,
125,B201803895A1,,
126,B201800158C1,,
127,B201800765C,,
128,B201802061A1,,
129,B201801034A2,,
130,B201802061B1,,
131,B201800158C2,,
132,B201802800B1,,
133,B201801248A2,,
134,B201800580A1,,
135,B201802061C2,,
136,B201800628C,,
137,B201801681C,,
138,B201800628D2,,
139,B201800765E1,,
140,B201801681A3,,
141,B201800628A2,,
142,B201803863B2,,
143,B201800628B2,,
144,B201803197D,,
145,B201800470A,,
146,B201801034D,,
147,B201800470B1,,
148,B201800628A1,,
149,B201800158B1,,
150,B201803197A,,
151,B201802382A3,,
152,B201801223D,,
153,B201803433A2,,
154,B201800158A2,,
155,B201801034C1,,
156,B201800158B2,,
157,B201802382A2,,
158,B201801223B,,
159,B201802381B,,
160,B201800470C,,
161,B201801681B,,
162,B201801248A1,,
163,B201802381C,,
164,B201802381A1,,
165,B201800158D2,,
166,B201802382B,,
167,B201802061D1,,
168,B201802381A2,,
169,B201801682B,,
170,B201803863A,,
171,B201800158A1,,
172,B201802800A1,,
173,B201802382A1,,
174,B201802382D,,
175,B201801248C2,,
176,B201802381A3,,
177,B201802800A2,,
178,B201802800C1,,
179,B201800158D1,,
180,B201803863B1,,
181,B201801682A2,,
182,B201801682A1,,
183,B201803895A2,,
184,B201802061D2,,
185,B201800580A3,,
186,B201415605A2,,
187,B201428281A2,,
188,B201519204B1,,
189,B201519204C,,
190,B201322347A1,,
191,B201428281A1,,
192,B201317554B1,,
193,B201317554B2,,
194,B201519204A,,
195,B201317554A2,,
196,B201518371D,,
197,B201518371B2,,
198,B201519204B2,,
199,B201428281B2,,
200,B201517094D,,
201,B201415605B1,,
202,B201914532B,,
203,B201905035B2,,
204,B201939700A2,,
205,B201919084A2,,
206,B201939700B1,,
207,B201936411B2,,
208,B201930909B,,
209,B201936411C,,
210,B201939700A3,,
211,B201905035A,,
212,B201906782B,,
213,B201939700A1,,
214,B201939700B2,,
215,B201928825C2,,
216,B201928825B1,,
217,B201906782A1,,
218,B201906782C,,
219,B201930909A,,
220,B201528613D,,
